Dataset Name,Question
World Happiness Report 2015.csv,which continent has the most countries in the top 10 of the happiness index ?
World Happiness Report 2015.csv,"of all the continents , which has the greatest number of countries in the top 10 of the happiness index ?"
World Happiness Report 2015.csv,can you tell me which continent has the highest number of countries in the top 10 happiness index ?
World Happiness Report 2015.csv,name the continent containing the most number of countries in the top 10 happiness index
World Happiness Report 2015.csv,"in the happiness index , which continent has the most countries ranked in the top 10 ?"
World Happiness Report 2015.csv,which continent has more countries listed in the top 10 on the happiness index ?
World Happiness Report 2015.csv,on the happiness index what continent has the most country 's in the top 10 ?
World Happiness Report 2015.csv,show me the continent with the greatest number of countries ranked in the top 10 of the happiness index .
World Happiness Report 2015.csv,show me the continent with the most countries in the top 10 happiness index .
World Happiness Report 2015.csv,name the continent that contains the greatest number of countries that are top 10 on the happiness index ?
World Happiness Report 2015.csv,show me the continent that has the most countries in the top 10 of happiness rating .
JPvideos.csv,which removed video has the most likes ?
JPvideos.csv,what video has the most likes of all the removed videos ?
JPvideos.csv,"among the removed videos , which one was liked the most ?"
JPvideos.csv,what video which has been removed has the most likes ?
JPvideos.csv,"which video , that has been removed , had the greatest number of likes ?"
JPvideos.csv,"of the videos that have been removed , which one has the most likes ?"
JPvideos.csv,which deleted video received the most likes ?
JPvideos.csv,"looking at removed videos , which one had the highest amount of likes ?"
JPvideos.csv,name the video that had the most likes and was removed .
JPvideos.csv,what video has the most likes and is removed ?
JPvideos.csv,which deleted video was most popular ?
JPvideos.csv,discover the most liked removed video
Suicide.csv,does the highest number of suicides fall within the range of 15�C34 years ?
Suicide.csv,does the age group 15 -34 have the highest number of suicides ?
Suicide.csv,are people more likely to commit suicide between the ages of 15 to 34 ?
Suicide.csv,does the 15 -34 age range produce the largest number of suicides ?
Suicide.csv,are people between the ages of 15 -34 more likely to commit suicide ?
Suicide.csv,does the age range 15 -34 years old have the highest number of suicides ?
Suicide.csv,do most suicides fall between the ages of 15 -34 years ?
Suicide.csv,do 15 -34 have the highest number of suicides ?
Suicide.csv,does the age range of 15 -35 year olds have the largest number of deaths due to suicide ?
Suicide.csv,do you think that the highest range of suicide falls between the ages of 15 -34 years ?
Suicide.csv,is the highest number of suicides among people between 15 and 34 years old ?
Suicide.csv,do most deaths by suicide happen in people ages 15 -34 years of age ?
Suicide.csv,are 15 -34 year olds ranked in the higest number of suicides ?
Suicide.csv,is the most suicides commited by people aged 15 -34 ?
Suicide.csv,are the highest number of suicides ranging within ages 15 to 34 ?
Suicide.csv,do most suicides occur between the ages of 15 -34 ?
co-est2002-01-05.csv,which county has the largest population in 2000 ?
co-est2002-01-05.csv,tell me which county has the greatest population in the year 2000 .
co-est2002-01-05.csv,"in 2000 , which country was most populated ?"
co-est2002-01-05.csv,find the county with the largest population in 2000 .
co-est2002-01-05.csv,in 2000 which country had the largest population ?
co-est2002-01-05.csv,can you tell me the country which has the largest population in 2000 ?
co-est2002-01-05.csv,find out the country with more population in 2000 .
co-est2002-01-05.csv,which county had the largest population for 2000 ?
co-est2002-01-05.csv,show me the country that had the greatest population in 2000
co-est2002-01-05.csv,show me the country with the largest population in 2000 .
