Dataset Name,Question
grade-records.csv,rank the grades from highest to lowest according to the average score .
grade-records.csv,arrange the grades from highest average score descending to lowest average score
grade-records.csv,"in descending order , rank the grades by average score ."
grade-records.csv,sort grades from highest to lowest by average score .
grade-records.csv,"based on the average grade scores , rank them from the highest to the lowest ."
grade-records.csv,arrange the grades from highest to lowest by average score
grade-records.csv,"based upon average score , what is the rank of the grades from highest to lowest ?"
grade-records.csv,list grades by average score from highest to lowest .
grade-records.csv,"using the average score , please rank the grades from the highest to the lowest ."
grade-records.csv,arrange the grades by the average score from highest to lowest .
grade-records.csv,"according to the average score , list the grades from highest to lowest"
grade-records.csv,what is the average score ranking from highest to lowest ?
grade-records.csv,find the average score then rank the grades from highest to the lowest .
grade-records.csv,"based on the average score , organize the grades from highest to loest ."
grade-records.csv,display the grades from highest to lowest according to the average score .
grade-records.csv,show me the average score of grades ranked from highest to lowest .
World Happiness Report 2015.csv,rank the regions according to the number of countries .
World Happiness Report 2015.csv,the regions must be placed in accordance with their number of countries
World Happiness Report 2015.csv,can you please rank the regions according to the number of countries ?
World Happiness Report 2015.csv,can you rank regions according to the number of countries ?
World Happiness Report 2015.csv,put the regions in order according to the number of countries .
World Happiness Report 2015.csv,sort the regions by the number of countries .
World Happiness Report 2015.csv,can you help me rank the regions based on the number of countries ?
World Happiness Report 2015.csv,can you rank the regions in the number of countries .
World Happiness Report 2015.csv,list the regions based on their number of countries .
World Happiness Report 2015.csv,retrieve the rankings of regions according to the number of countries
World Happiness Report 2015.csv,"using the number of countries , rank the regions ."
World Happiness Report 2015.csv,order regions by countries number
World Happiness Report 2015.csv,arrange the regions with the number of countries
World Happiness Report 2015.csv,show me the rank of regions according to the number of countries .
World Happiness Report 2015.csv,put the regions in order based on how many countries are in each .
World Happiness Report 2015.csv,list the regions in descending order by number of countries they contain .
student-mat.csv,rank the students according to the number of failures in increasing order .
student-mat.csv,list students by their quantity of failures from least to greatest .
student-mat.csv,"in increasing order , place the students according to the number of failures ."
student-mat.csv,rate the students according to the number of failures in increasing order
student-mat.csv,rank the students based on the number of failures in ascending order .
student-mat.csv,please rank the students based on their number of failures in ascending order .
student-mat.csv,list the students from low to high based on their number of failures .
student-mat.csv,organize the students by amount of failures in increasing order .
student-mat.csv,show me the students according to the number of failures in increasing order .
student-mat.csv,classify the students in increasing order by the amount of failures .
student-mat.csv,"in increasing order of failures by number , rank the students ."
student-mat.csv,"could you sort the students by their number of failures , smallest to largest ?"
student-mat.csv,rank students in increasing order of failures .
student-mat.csv,list the students in increasing order of failures .
student-mat.csv,show me the students according to failure in ascending order .
student-mat.csv,number the students failures in order from high to low .
Undergraduate_Postgraduate.csv,rank the table by the total number of undergraduate and postgraduate students .
Undergraduate_Postgraduate.csv,"based on the total of undergraduate and postgraduate students , rank the table ."
Undergraduate_Postgraduate.csv,can you show me the table ranked from the total number of undergraduate and post gradate sudents
Undergraduate_Postgraduate.csv,include the ranks in the table based on the total number of undergraduate and postgraduate students .
Undergraduate_Postgraduate.csv,sort the table by the complete number of undergrad and postgrad students
Undergraduate_Postgraduate.csv,"by total , provide the ranking of number of undergraduate and postgraduate students in a table ."
Undergraduate_Postgraduate.csv,come up with a system through which you rank the students at the table by the total number of undergraduates and postgraduates .
Undergraduate_Postgraduate.csv,arrange the table by total count of undergraduate and postgraduate students .
Undergraduate_Postgraduate.csv,"based on the table , rank the undergraduate and postgraduate students by the total number ."
Undergraduate_Postgraduate.csv,please sort the table by number of undergraduate and postgraduate students .
Undergraduate_Postgraduate.csv,use the total number of undergraduate and post graduate student to rank the table .
Undergraduate_Postgraduate.csv,order the table by the entire sum of undergraduate and postgraduate students .
Undergraduate_Postgraduate.csv,can you group the table by the total number of undergraduate and postgraduate students .
Undergraduate_Postgraduate.csv,the total number of undergraduate and postgraduate students will determine the ranking of the table .
Undergraduate_Postgraduate.csv,place the undergraduate and postgraduate students in the table into a rank .
