Dataset Name,Question
life-expectancy-by-state.csv,what is the range of estimated lung and bronchus cancer deaths in the top 10 most populous states ?
life-expectancy-by-state.csv,"when considering only the 10 most populated states , find and identify the range of approximated lung and bronchus cancer deaths ."
life-expectancy-by-state.csv,"taking into account of the first ten states with the highest population figures , how is the range of estimated lung and bronchus cancer deaths ?"
life-expectancy-by-state.csv,"in regards to the ten most populous states , when it comes to lung and bronchus cancer , what is the range of estimated deaths ?"
life-expectancy-by-state.csv,in the top ten most populated states what is the range for the estimated lung and bronchus cancer deaths .
life-expectancy-by-state.csv,"in the 10 most populated states , what 's the range of deaths that estimated cause is lung and bronchus cancer ?"
life-expectancy-by-state.csv,"in the top ten most populated states , what is the estimated range of lung and bronchus cancer deaths ?"
life-expectancy-by-state.csv,"please look at the ten most populous states , and then look at the estimated number of lung and bronchus cancer deaths , and tell me what the range is in those states ."
life-expectancy-by-state.csv,give me the range of the estimated deaths caused by lung and bronchus cancer in the top 10 most populous states
life-expectancy-by-state.csv,"in the 10 most populated states , what is the estimated number of lung cancer and bronchus cancer deaths ?"
life-expectancy-by-state.csv,"in the 10 most highly populated states , what are the highest and lowest estimated levels of lung and bronchus cancer ?"
life-expectancy-by-state.csv,"in the 10 most populous states , what is the total of estimated lung and bronchus cancer deaths ?"
life-expectancy-by-state.csv,out of the top 10 most populated states are the estimated deaths caused by lung and bronchus cancer ?
life-expectancy-by-state.csv,give me the limit in which lung and bronchus cancer are the 10 top most populous state .
life-expectancy-by-state.csv,what is the variance of the estimated lung and bronchus cancer deaths in the top 10 most heavily settled states ?
