Dataset Name,Question
top-50-us-universities.csv,how are the different types of universities scattered in various locations ?
top-50-us-universities.csv,tell me the way different types of universities are scattered in several locations .
top-50-us-universities.csv,how are the various kinds of universities dispersed in different places ?
top-50-us-universities.csv,in what way is the kinds of universities dispersed in many different locations ?
top-50-us-universities.csv,how are different kinds of universities spread across various locations ?
top-50-us-universities.csv,i want to know how the different types of universities are scattered in various locations .
top-50-us-universities.csv,how are the various universities spread across the different locations ?
top-50-us-universities.csv,tell me how various universities are spreaded out in different locations ?
top-50-us-universities.csv,"based on location , how are different types of universities arranged ?"
top-50-us-universities.csv,show me the different types of universites that are scrattered throughout various locations .
top-50-us-universities.csv,what are the various locations that the different types of universities are scattered in ?
top-50-us-universities.csv,can you show where the different types of universities are scattered in various locations ?
top-50-us-universities.csv,what are the different types of universities scattered throughout various locations ?
top-50-us-universities.csv,what kinds of universities are in the different locations ?
top-50-us-universities.csv,what are the different types of universities in various locations ?
top-50-us-universities.csv,what are the different types on universities in these given locations ?
top-50-us-universities.csv,explain how the assorted characteristics of universities determines how they are spread in different areas .
top-50-us-universities.csv,what is the distribution of public and private universities throughout the country ?
World Happiness Report 2015.csv,present the distribution of the health score in different regions .
World Happiness Report 2015.csv,show the health score distribution in the different regions .
World Happiness Report 2015.csv,show me the different regions health score distribution .
World Happiness Report 2015.csv,show me the distribution of the health score in different regions
World Happiness Report 2015.csv,list the distribution of the health score in different regions .
World Happiness Report 2015.csv,show me the distribution of the health score as it is presented in different regions .
World Happiness Report 2015.csv,what is the health score distribution in different regions ?
World Happiness Report 2015.csv,what is the health distribution score across the different regions ?
World Happiness Report 2015.csv,what is the health score distribution across different regions ?
World Happiness Report 2015.csv,we would like to see what the distribution is of the health score in different regions .
World Happiness Report 2015.csv,what 's the health score distribution for the different regions ?
World Happiness Report 2015.csv,retrieve the health score distribution in different regions .
World Happiness Report 2015.csv,what is the distribution of different regions ' health scores ?
World Happiness Report 2015.csv,what is the distribution of the health score across each region ?
World Happiness Report 2015.csv,what is the range of health scores in different regions
World Happiness Report 2015.csv,can you present the distribution different regions ' health scores ?
World Happiness Report 2015.csv,what are the distributions of the health score between differing regions ?
World Happiness Report 2015.csv,show the dissemination of the health score in various regions .
grade-records.csv,what is the distribution of the ages of the students ?
grade-records.csv,can you tell me the distrbution of ages between the students ?
grade-records.csv,can you tell me the age distribution of the students ?
grade-records.csv,can you tell me how the students are distributed by age ?
grade-records.csv,what is the age distribution of the students ?
grade-records.csv,give me the distribution of students by age .
grade-records.csv,what is the student 's age distribution ?
grade-records.csv,how are student ages distributed ?
grade-records.csv,find the distribution of the ages of the students .
grade-records.csv,how are the students ' ages distributed ?
grade-records.csv,show the students age distribution .
grade-records.csv,what is the range of ages with the students ?
grade-records.csv,how are the student ages distributed ?
