Dataset Name,Question
co-est2002-01-05.csv,what is the distribution of the population in 2000 ?
co-est2002-01-05.csv,can you give me the population distribution in the year 2000 ?
co-est2002-01-05.csv,in 2000 what was the distribution of the population ?
co-est2002-01-05.csv,can you tell me the population distribution as it was in the year 2000 ?
co-est2002-01-05.csv,"in 2000 , what was the population distribution ?"
co-est2002-01-05.csv,i want to know the distribution of the population in 2000
co-est2002-01-05.csv,tell what the distribution of the population was in 2000
co-est2002-01-05.csv,retrieve the distribution of the population in 2000 .
co-est2002-01-05.csv,what is the population dispersal for 2000 ?
co-est2002-01-05.csv,how was the population distributed in the year of 2000 ?
co-est2002-01-05.csv,can you provide the population apportionment on year 2000 ?
co-est2002-01-05.csv,show me the diffusion of the population in 2000
co-est2002-01-05.csv,how was the population allocated in 2000 ?
co-est2002-01-05.csv,how was the population distributed in 2000 ?
co-est2002-01-05.csv,show me the 2000 population distribution .
co-est2002-01-05.csv,display the 2000 population distribution numbers .
top-50-us-universities.csv,how are the number of teachers distributed among the universities in new york ?
top-50-us-universities.csv,what is the distribution number of teachers among new york universities ?
top-50-us-universities.csv,show the distribution numbers of teachers in universities in new york .
top-50-us-universities.csv,can you tell me how the number of teachers are distributed among the new york 's universities ?
top-50-us-universities.csv,"in new york , what are the numbers of teachers distributed in the universities ?"
top-50-us-universities.csv,how are the amount of teachers dispersed among new york universities ?
top-50-us-universities.csv,what is the teacher number distribution among the new york universities ?
top-50-us-universities.csv,what is the distribution of teachers among all the universities in new york ?
top-50-us-universities.csv,"in new york , what is the number of teachers distributed across the universities ?"
top-50-us-universities.csv,what is the teacher distribution of new york universities ?
top-50-us-universities.csv,what are the number of teachers distributed among the universities in the state of new york ?
top-50-us-universities.csv,"across the universities in new york , can you tell me the amount of teachers distributed among them ?"
top-50-us-universities.csv,tell me what is the number of teachers distributed in the universities in new york ?
top-50-us-universities.csv,how are teachers distributed in new york universities ?
top-50-us-universities.csv,show me the number of teachers that have been distributed among the universities in new york .
top-50-us-universities.csv,can you tell me the amount of teachers spreaded out among new york universities ?
co-est2002-01-05.csv,illustrate the distribution of the population of ashley across the five years .
co-est2002-01-05.csv,can you illustrate how the population of ashley are distributed across the five years .
co-est2002-01-05.csv,show the distribution of the population of ashley across a five year span .
co-est2002-01-05.csv,show the distribution of the population in ashley across five years
co-est2002-01-05.csv,show me how the population of ashley was distributed during the last five years .
co-est2002-01-05.csv,explain how the population of ashley is distributed over five years .
co-est2002-01-05.csv,show me a chart of the population distribution of ashley over the last five years .
co-est2002-01-05.csv,how can the population of ashley be illustrated to show distribution across five years ?
co-est2002-01-05.csv,show the distribution of ashley populations over a 5 year period .
co-est2002-01-05.csv,demonstrate the dispersion of the population of ashley from the past five years .
co-est2002-01-05.csv,show me the distribution of the population over 5 years of ashley ?
co-est2002-01-05.csv,we want the distribution of the population of ashley for five years .
co-est2002-01-05.csv,draw the population distribution of ashleys across the five years .
co-est2002-01-05.csv,what is the distribution of the population of ashley in the past five years ?
co-est2002-01-05.csv,show what the distribution of the population of ashley looks like for five years
co-est2002-01-05.csv,draw the dispersal of ashley 's population over a five year period .
co-est2002-01-05.csv,"if i was born in 2000 , what is the probability of me being born in a county with no less than 20,000 people ?"
co-est2002-01-05.csv,"how likely is that i was born in a country with more than 20,000 people if i was born in the year 2000 ?"
co-est2002-01-05.csv,"what is the probability of me being born in a county with 20,000 people or more if i was born in 2000 ?"
co-est2002-01-05.csv,"how likely is it that i was born in a country with less than 20,000 people , if i was born in 2000 ?"
co-est2002-01-05.csv,"if i was born in 2000 , can you tell me the probability of me being born in a county with no less than 20,000 people ?"
co-est2002-01-05.csv,"what is the probablility of me being born in the year 2000 in a country with a population of 20,000 people ?"
co-est2002-01-05.csv,"how likely is it that , if i was born in 2000 , i was born in a county with no less than 20,000 people ?"
co-est2002-01-05.csv,"what are the odds of me being born in a country with a population greater than 20,000 people if i was born in the year 2000 ?"
co-est2002-01-05.csv,"being born in 2000 , what is the probability of me being born in a county with more than 20,000 people ?"
co-est2002-01-05.csv,"give me the probability of me being born in a county with a minimum of 20,000 people if i was born in the year 2000 ."
co-est2002-01-05.csv,"assuming my birth year is 2000 , can you tell me the probability of my being born in a country with 20,000 people or more ?"
co-est2002-01-05.csv,"what are the odds of a person being born in 2000 to be in a county with more than 20,000 inhabitants ?"
co-est2002-01-05.csv,"can you tell me what the probability is of me being born in the year 2000 in a country with no less than 20,000 people ?"
co-est2002-01-05.csv,"tell me if i was born in 2000 , i would have the probability of being born in a country with no less than 20,000 people"
co-est2002-01-05.csv,"since i was born in the year 2000 , what is the chance i will be born in a county with a population of less than 20,000 ?"
World Happiness Report 2015.csv,which region has had a huge increase in the happiness score in the last ten years ?
World Happiness Report 2015.csv,"in the last decade , tell me the region that had a huge increase in the happiness score ."
World Happiness Report 2015.csv,"in the last decade , which area has had a large increase in the happiness score ?"
World Happiness Report 2015.csv,"in the last ten years , what region has seen a massive incline in the happiness score ?"
