Dataset Name,Question
World Happiness Report 2015.csv,what is the 15th happiest country ?
World Happiness Report 2015.csv,which country ranks 15th in happiness ?
World Happiness Report 2015.csv,which country is ranked 15th on the list of the world 's happiest countries ?
World Happiness Report 2015.csv,"from all the countries , who places 15th in happiest country ?"
World Happiness Report 2015.csv,which country is 15th on the list of happiest countries ?
World Happiness Report 2015.csv,show me the country that ranks 15th in the happiest category .
World Happiness Report 2015.csv,"out of all the countries , which one is the 15th happiest ?"
World Happiness Report 2015.csv,"out of all the countries , the 15th happiest is which ?"
World Happiness Report 2015.csv,show me the country ranked 15th in happiness .
World Happiness Report 2015.csv,i 'd like to know which country is the 15th happiest .
World Happiness Report 2015.csv,tell me what the 15th happiest country is .
World Happiness Report 2015.csv,tell me the 15th happiest country .
World Happiness Report 2015.csv,show me the 15th happiest country .
World Happiness Report 2015.csv,please locate the 15th happiest country .
World Happiness Report 2015.csv,show the the 15th happiest country .
