Dataset Name,Question
World Happiness Report 2015.csv,"if iceland wanted to enhance its happiness score , which country should it surpass ?"
World Happiness Report 2015.csv,to enhance icelands happiness score they would need to surpass which country ?
World Happiness Report 2015.csv,"suppose the country of iceland wished to enhance its happiness rating , which country should it strive to surpass ?"
World Happiness Report 2015.csv,which country should iceland surpass to enlarge its happiness score ?
World Happiness Report 2015.csv,which country should iceland aim to out -perform in order to improve its happiness ranking ?
World Happiness Report 2015.csv,which country should iceland surpass if it wants to increase their happiness score ?
World Happiness Report 2015.csv,which country should iceland surpass in order to enhance it 's happiness score ?
World Happiness Report 2015.csv,what country does iceland have to pass to improve its scale of happiness ?
World Happiness Report 2015.csv,show me the country that iceland should surpass if it wanted to enhance its happiness score
World Happiness Report 2015.csv,in order for iceland to increase its happiness score what countries would have to decrease their scores ?
World Happiness Report 2015.csv,which country would iceland have to surpass in order to enhance it 's happiness score ?
World Happiness Report 2015.csv,who would iceland have to outscore to move up in happiness rankings ?
World Happiness Report 2015.csv,i need to know which country iceland would surpass if they wanted to enhance its happiness score .
World Happiness Report 2015.csv,what countries have a higher happiness score than iceland ?
