Dataset Name,Question
top-50-us-universities.csv,is the number of teachers in harvard university out of the normal range ?
top-50-us-universities.csv,"at harvard university , does the total number of teachers fall into an average range ."
top-50-us-universities.csv,does harvard university have a number of teachers outside the normal range ?
top-50-us-universities.csv,can you tell if the number of teachers in harvard university is out of the normal range ?
top-50-us-universities.csv,does harvard university lay outside the normal range for teacher count ?
top-50-us-universities.csv,does harvard university have a number of teachers in the normal range ?
top-50-us-universities.csv,determine if the number of teachers is out of the normal range for harvard university .
top-50-us-universities.csv,does harvard university have teacher outside of normal range ?
top-50-us-universities.csv,would you say the number of harvard university teaches is out of the normal range ?
top-50-us-universities.csv,what is the normal range for teachers at harvard university ?
top-50-us-universities.csv,does the number of teachers at harvard university fall in the normal range ?
top-50-us-universities.csv,does harvard have a typical faculty in regards to numbers ?
top-50-us-universities.csv,is the instructional staff at harvard university abnormally large compared to others ?
top-50-us-universities.csv,is the number of teachers at harvard normal or abnormal ?
top-50-us-universities.csv,"if harvard university was located in new york , would the number of teachers in harvard be considered outliers in relation to all the universities in new york ?"
top-50-us-universities.csv,"would harvard teachers be classed as outliers in regards to universities in new york , if harvard were located in new york ?"
top-50-us-universities.csv,"would harvard teachers be considered outliers to all new york universities , if harvard university was located in new york ?"
top-50-us-universities.csv,"would the amount of teachers at harvard be considered outliers in respect to all other universities in new york , if harvard was in new york ."
top-50-us-universities.csv,would the number of teachers in harvard be considered outliers relative to universities in new york if harvard university was in new york ?
top-50-us-universities.csv,would teachers in harvard be considered outliers if the university was in new york ?
top-50-us-universities.csv,would the number of teachers in harvard be considered outliers if harvard university was located in new york in relation to every other university in new york ?
top-50-us-universities.csv,"can we say that if harvard university was located in new york , the number of teachers would be considered outliers in relation to all the universities in new york ?"
top-50-us-universities.csv,"in relation to all the other universities in new york , would the number of teachers in harvard be considered outliers ?"
top-50-us-universities.csv,let us say harvard university is in new york ; what number of all the teachers at harvard be considered outliers compared to the other universities in new york ?
top-50-us-universities.csv,"for example , if harvard university was located in new york , would the amount of teachers at harvard be different to the other universities in new york ?"
top-50-us-universities.csv,"if you imagine harvard university was in new york , do you think the number of harvard professors would be different than those of the other universities in new york ?"
top-50-us-universities.csv,"if new york was the state where harvard university was located , would the number of teachers in harvard be outliers , compared to all the universities in new york ?"
top-50-us-universities.csv,could we expect the quantity of teachers at harvard university to be an aberration compared to other universities in new york if we were to assume harvard was in new york ?
top-50-us-universities.csv,"what if harvard university was in new york ,would the percent of teachers in harvard be considered outliers in relation to all the universities in the state of new york ."
sub-est2002-01.csv,is there a city that has a larger population than a state ?
sub-est2002-01.csv,show me a single city whose population is greater than that of a state ?
sub-est2002-01.csv,does there exist a city that has a population larger than a state ?
sub-est2002-01.csv,are there any cities that have populations which are larger than that of an entire state ?
sub-est2002-01.csv,is there a city whose population bigger than a state ?
sub-est2002-01.csv,can you tell me if any city has a population larger than a state ?
sub-est2002-01.csv,are there any cities that have a larger population compared to the state populations ?
sub-est2002-01.csv,are there any cities with a larger population than a state ?
sub-est2002-01.csv,are there any cities that have a larger population than a state ?
sub-est2002-01.csv,which cities have a larger population than the lowest state population
sub-est2002-01.csv,what city 's population is greater than an entire state 's population ?
sub-est2002-01.csv,tell me what city has more people in it than any state has in total .
sub-est2002-01.csv,which cities have a larger population than a state ?
sub-est2002-01.csv,what city has a larger population than a state ?
sub-est2002-01.csv,what is the city that is more populous than a state ?
sub-est2002-01.csv,"in relation to the states , is there a city that has a greater population ?"
sub-est2002-01.csv,can you name a city who 's populated by more people than another state ?
JPvideos.csv,are there any videos with dislikes ?
JPvideos.csv,have any of the videos been disliked ?
JPvideos.csv,do any of the videos have dislikes ?
JPvideos.csv,"of all the videos , are there any that are disliked ?"
JPvideos.csv,are there videos with dislikes ?
JPvideos.csv,can you show me videos with dislikes ?
JPvideos.csv,please let me know if any videos have received any dislikes .
JPvideos.csv,did any video get a dislike ?
JPvideos.csv,what videos have dislikes ?
JPvideos.csv,show the videos with dislikes .
